Feature Index,Loss
0,-1.1562347412109375
1,-5.884857177734375
2,-1.742889404296875
3,-46.13134765625
4,41.85209655761719
5,101.46261596679688
6,66.19902038574219
7,-3.4723052978515625
8,-19.008575439453125
9,-82.91764831542969
10,-119.57548522949219
11,40.80570983886719
12,34.855712890625
13,-19.841567993164062
14,51.622589111328125
15,21.749847412109375
16,18.924362182617188
17,-6.105499267578125
18,-12.217178344726562
19,90.00961303710938
20,6.5810089111328125
21,101.06124877929688
22,-66.80928039550781
23,-65.12940979003906
24,107.1171875
25,-28.002120971679688
26,-48.75865936279297
27,-24.814544677734375
28,-115.775390625
29,-0.00799560546875
30,-70.51079559326172
31,169.250244140625
32,-41.37251281738281
33,27.073562622070312
34,-6.06121826171875
35,-12.163589477539062
36,-76.19618225097656
37,-7.438720703125
38,139.78424072265625
39,-29.549774169921875
40,254.0458984375
41,25.97344970703125
42,-43.6771240234375
43,-7.12860107421875
44,62.808380126953125
45,-5.8253631591796875
46,58.901763916015625
47,-55.32817077636719
48,37.73162841796875
49,60.46446228027344
50,-37.5006103515625
51,56.16297912597656
52,22.493881225585938
53,-86.12117004394531
54,-52.122467041015625
55,-47.6187744140625
56,-51.10346984863281
57,52.28594970703125
58,5.0965423583984375
59,44.97526550292969
60,-30.251296997070312
61,-120.27235412597656
62,5.605621337890625
63,-9.46917724609375
64,-182.94541931152344
65,4.7082061767578125
66,-61.54058837890625
67,-78.9407958984375
68,96.76300048828125
69,19.097061157226562
70,7.4689788818359375
71,66.39164733886719
72,10.44354248046875
73,-22.755027770996094
74,90.52229309082031
75,-8.462051391601562
76,108.98948669433594
77,51.40531921386719
78,131.00518798828125
79,32.06352233886719
80,157.76217651367188
81,82.49784851074219
82,44.567657470703125
83,-99.19978332519531
84,-39.17103576660156
85,-106.95306396484375
86,17.008514404296875
87,-21.504837036132812
88,48.61102294921875
89,2.72406005859375
90,-90.2236557006836
91,0.790740966796875
92,-37.28759765625
93,-29.779464721679688
94,-132.3160400390625
95,-82.90397644042969
96,71.63087463378906
97,-100.34347534179688
98,-67.7479248046875
99,29.53973388671875
100,-3.7974395751953125
101,138.83600616455078
102,57.002044677734375
103,83.21913146972656
104,-45.60968017578125
105,-39.223968505859375
106,226.50755310058594
107,-25.057571411132812
108,-70.75259399414062
109,-28.301071166992188
110,-15.532768249511719
111,2.7933807373046875
112,236.60006713867188
113,6.710235595703125
114,68.87806701660156
115,96.36285400390625
116,177.5864715576172
117,-4.20721435546875
118,-655.9733581542969
119,13.704833984375
120,83.90042114257812
121,-4.1558380126953125
122,5.4239654541015625
123,10.836318969726562
124,49.1539306640625
125,-22.517410278320312
126,-26.363632202148438
127,-46.10295104980469
128,14.268630981445312
129,-8.589080810546875
130,64.63487243652344
131,-23.6507568359375
132,36.530853271484375
133,59.5528564453125
134,29.508895874023438
135,169.91993713378906
136,-13.236175537109375
137,88.3673095703125
138,65.34190368652344
139,-18.23895263671875
140,-52.593353271484375
141,-78.45555114746094
